Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_07_2023__10_36_37,1688740597948,0,None,0,0,0,0.7116752,-0.6587327,-0.2376317,0.04207923,-0.02556713,-0.005859133
07_07_2023__10_36_37,1688740597964,0,None,0,0,0,0.7116752,-0.6587327,-0.2376317,0.03462215,-0.0340895,-0.007989727
07_07_2023__10_36_37,1688740597981,0,None,0,0,0,0.7116752,-0.6587327,-0.2376317,0.02609978,-0.03462215,0
07_07_2023__10_36_37,1688740597997,0,None,0,0,0,0.7221662,-0.6536092,-0.2386076,0.01225092,-0.03355686,-0.001065297
07_07_2023__10_36_38,1688740598015,0,None,0,0,0,0.7221662,-0.6536092,-0.2386076,0.01225092,-0.03355686,-0.001065297
07_07_2023__10_36_38,1688740598031,0,None,0,0,0,0.7221662,-0.6536092,-0.2386076,0.001065297,-0.03728539,-0.00692443
07_07_2023__10_36_38,1688740598048,0,None,0,0,0,0.7221662,-0.6536092,-0.2386076,-0.00692443,-0.04847101,-0.01704475
07_07_2023__10_36_38,1688740598064,0,None,0,0,0,0.714115,-0.6492177,-0.2478787,-0.00692443,-0.04847101,-0.01704475
07_07_2023__10_36_38,1688740598081,0,None,0,0,0,0.7133831,-0.6499496,-0.2481227,-0.009055025,-0.06231987,-0.01704475
07_07_2023__10_36_38,1688740598098,0,None,0,0,0,0.7133831,-0.6499496,-0.2481227,-0.01012032,-0.0724402,-0.01118562
07_07_2023__10_36_38,1688740598114,0,None,0,0,0,0.7133831,-0.6499496,-0.2481227,-0.01012032,-0.08096257,-0.001065297
07_07_2023__10_36_38,1688740598131,0,None,0,0,0,0.7187505,-0.6494616,-0.2573937,-0.01012032,-0.08096257,-0.001065297
07_07_2023__10_36_38,1688740598148,0,None,0,0,0,0.7187505,-0.6501936,-0.2581256,-0.01331621,-0.08575641,0.005326485
07_07_2023__10_36_38,1688740598165,0,None,0,0,0,0.7187505,-0.6501936,-0.2581256,-0.01970799,-0.08575641,0.01438151
07_07_2023__10_36_38,1688740598181,0,None,0,0,0,0.7187505,-0.6501936,-0.2581256,-0.01970799,-0.08575641,0.01438151
07_07_2023__10_36_38,1688740598198,0,None,0,0,0,0.7224102,-0.6484857,-0.2630051,-0.02769772,-0.07936462,0.02024064
07_07_2023__10_36_38,1688740598215,0,None,0,0,0,0.723386,-0.6477538,-0.2625172,-0.03355686,-0.07084225,0.02663242
07_07_2023__10_36_38,1688740598232,0,None,0,0,0,0.723386,-0.6477538,-0.2625172,-0.03994863,-0.05805869,0.03302421
07_07_2023__10_36_38,1688740598248,0,None,0,0,0,0.723386,-0.6477538,-0.2625172,-0.03994863,-0.05805869,0.03302421
07_07_2023__10_36_38,1688740598265,0,None,0,0,0,0.723386,-0.6477538,-0.2625172,-0.03835069,-0.04953631,0.03781804
