Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_07_2023__11_27_17,1688743637771,0,None,0,0,0,0,0,0,0,0,0
07_07_2023__11_27_17,1688743637798,0,None,0,0,0,0.6465339,-0.6643441,-0.3957276,-0.00692443,-0.02609978,0.01012032
07_07_2023__11_27_17,1688743637858,0,None,0,0,0,0.6519014,-0.6636122,-0.3954836,-0.01118562,-0.03142626,0.01278356
07_07_2023__11_27_17,1688743637872,0,None,0,0,0,0.6519014,-0.6636122,-0.3954836,-0.01225092,-0.02609978,0.02024064
07_07_2023__11_27_17,1688743637889,0,None,0,0,0,0.6519014,-0.6636122,-0.3954836,-0.01225092,-0.02609978,0.02024064
07_07_2023__11_27_17,1688743637907,0,None,0,0,0,0.6523893,-0.6621484,-0.3937758,-0.01491416,-0.02183859,0.02343653
07_07_2023__11_27_17,1688743637923,0,None,0,0,0,0.6504375,-0.6609285,-0.3937758,-0.01704475,-0.02237124,0.0175774
07_07_2023__11_27_17,1688743637940,0,None,0,0,0,0.6504375,-0.6609285,-0.3937758,-0.01704475,-0.02237124,0.0175774
07_07_2023__11_27_17,1688743637957,0,None,0,0,0,0.6504375,-0.6609285,-0.3937758,-0.0165121,-0.02396918,0.0175774
07_07_2023__11_27_17,1688743637973,0,None,0,0,0,0.6504375,-0.6609285,-0.3937758,-0.01597945,-0.02396918,0.02130594
07_07_2023__11_27_17,1688743637990,0,None,0,0,0,0.6516574,-0.66532,-0.3969474,-0.01278356,-0.02077329,0.02130594
07_07_2023__11_27_18,1688743638006,0,None,0,0,0,0.6516574,-0.66532,-0.3969474,-0.01278356,-0.02077329,0.02130594
07_07_2023__11_27_18,1688743638023,0,None,0,0,0,0.6516574,-0.66532,-0.3969474,-0.01012032,-0.01917535,0.01597945
07_07_2023__11_27_18,1688743638040,0,None,0,0,0,0.6516574,-0.66532,-0.3969474,-0.007989727,-0.01704475,0.01331621
07_07_2023__11_27_18,1688743638057,0,None,0,0,0,0.6494616,-0.6641001,-0.3981673,-0.007989727,-0.01704475,0.01331621
07_07_2023__11_27_18,1688743638073,0,None,0,0,0,0.6506815,-0.665564,-0.3976794,-0.006391782,-0.01597945,0.01384886
07_07_2023__11_27_18,1688743638090,0,None,0,0,0,0.6506815,-0.665564,-0.3976794,-0.003728539,-0.01384886,0.01118562
07_07_2023__11_27_18,1688743638106,0,None,0,0,0,0.6506815,-0.665564,-0.3976794,-0.004793837,-0.01384886,0.01171827
07_07_2023__11_27_18,1688743638123,0,None,0,0,0,0.6514134,-0.6641001,-0.3947517,-0.004793837,-0.01384886,0.01171827
07_07_2023__11_27_18,1688743638140,0,None,0,0,0,0.6511695,-0.6636122,-0.3945077,-0.003195891,-0.0186427,0.01118562
07_07_2023__11_27_18,1688743638156,0,None,0,0,0,0.6511695,-0.6636122,-0.3945077,0.0005326485,-0.02396918,0.01544681
07_07_2023__11_27_18,1688743638173,0,None,0,0,0,0.6511695,-0.6636122,-0.3945077,0.0005326485,-0.02396918,0.01544681
