Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0,21.56944656,0,0.6487297,-0.5621186,-0.5538234,0.1747087,0.2157227,0.04154658
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.03338623,19.86513329,0,0.6487297,-0.5621186,-0.5538234,0.166719,0.2114615,0.03888334
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.03338623,19.86513329,0,0.6472659,-0.5594348,-0.5174711,0.1597945,0.2008085,0.03835069
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.066711426,15.53825855,0,0.6472659,-0.5594348,-0.5174711,0.1597945,0.2008085,0.03835069
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.066711426,15.53825855,0,0.6472659,-0.5594348,-0.5174711,0.1432824,0.1747087,0.03195891
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.100036621,11.1382246,0,0.6472659,-0.5594348,-0.5174711,0.1251724,0.1400865,0.02290388
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.100036621,11.1382246,0,0.6426303,-0.5643143,-0.4881941,0.1251724,0.1400865,0.02290388
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.133361816,12.55392838,0,0.6426303,-0.5645583,-0.4862423,0.1091929,0.1097256,0.01171827
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.133361816,12.55392838,0,0.6426303,-0.5645583,-0.4862423,0.08682171,0.07084225,0.004793837
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.166687012,9.866997719,0,0.6426303,-0.5645583,-0.4862423,0.068179,0.04154658,-0.001597945
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.166687012,9.866997719,0,0.6514134,-0.567974,-0.4711159,0.068179,0.04154658,-0.001597945
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.200012207,9.125740051,0,0.655073,-0.5694378,-0.4713598,0.04527512,0.01438151,-0.004261188
07_06_2023__14_53_48,6.38243E+13,0,Pursuit,0.200012207,9.125740051,0,0.655073,-0.5694378,-0.4713598,0.02237124,-0.01065297,-0.009587673
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.655073,-0.5694378,-0.4713598,0.02237124,-0.01065297,-0.009587673
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6621484,-0.5709016,-0.4691641,0.005326485,-0.03089361,-0.01118562
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6643441,-0.5721215,-0.47014,-0.01544681,-0.05219955,-0.009587673
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6643441,-0.5721215,-0.47014,-0.02716507,-0.06711371,-0.005326485
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6643441,-0.5721215,-0.47014,-0.02716507,-0.06711371,-0.005326485
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6643441,-0.5721215,-0.47014,-0.04207923,-0.07723403,0.002130594
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6716633,-0.5733414,-0.4803869,-0.0516669,-0.08042992,0.009587673
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6716633,-0.5733414,-0.4803869,-0.0516669,-0.08042992,0.009587673
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6716633,-0.5733414,-0.4803869,-0.05539544,-0.08042992,0.0165121
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6716633,-0.5733414,-0.4803869,-0.06072193,-0.07989727,0.02396918
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6694676,-0.5728534,-0.4930736,-0.06072193,-0.07989727,0.02396918
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6682478,-0.5728534,-0.4962453,-0.06338517,-0.08149522,0.02663242
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6682478,-0.5728534,-0.4962453,-0.06445047,-0.08256052,0.02663242
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6682478,-0.5728534,-0.4962453,-0.06338517,-0.08256052,0.02609978
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6592206,-0.5733414,-0.5069802,-0.06338517,-0.08256052,0.02609978
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6592206,-0.5738294,-0.5082,-0.05859134,-0.07989727,0.02343653
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6592206,-0.5738294,-0.5082,-0.0527322,-0.07457079,0.02024064
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6592206,-0.5738294,-0.5082,-0.0527322,-0.07457079,0.02024064
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.6572689,-0.5721215,-0.5145434,-0.04847101,-0.0713749,0.0175774
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.656049,-0.5721215,-0.5145434,-0.04580777,-0.0692443,0.008522375
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.656049,-0.5721215,-0.5145434,-0.04793836,-0.07190755,-0.002663242
07_06_2023__14_53_48,6.38243E+13,0,None,0,0,0,0.656049,-0.5721215,-0.5145434,-0.04793836,-0.07190755,-0.002663242
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0,2.222671986,0,0.6479978,-0.5630944,-0.5230826,-0.04793836,-0.07776668,-0.01171827
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0,2.222671986,0,0.6479978,-0.5660222,-0.5257663,-0.04154658,-0.07776668,-0.01225092
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6479978,-0.5660222,-0.5257663,-0.04154658,-0.07776668,-0.01225092
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6479978,-0.5660222,-0.5257663,-0.03036096,-0.06977695,-0.01544681
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6479978,-0.5660222,-0.5257663,-0.01704475,-0.05912399,-0.02450183
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6567808,-0.5640703,-0.529182,-0.008522375,-0.0527322,-0.02716507
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6567808,-0.5640703,-0.529182,-0.008522375,-0.0527322,-0.02716507
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6567808,-0.5640703,-0.529182,-0.006391782,-0.05006896,-0.02556713
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6567808,-0.5640703,-0.529182,-0.004793837,-0.04634042,-0.02290388
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.66532,-0.5591908,-0.5267422,-0.004793837,-0.04634042,-0.02290388
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6672718,-0.5584589,-0.5245464,-0.002130594,-0.04048128,-0.01811005
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6672718,-0.5584589,-0.5245464,-0.002130594,-0.03835069,-0.01171827
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6672718,-0.5584589,-0.5245464,0,-0.03355686,0.004793837
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6731272,-0.5604107,-0.5228386,0,-0.03355686,0.004793837
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6760549,-0.5633385,-0.5211307,-0.002130594,-0.02609978,0.01438151
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6760549,-0.5633385,-0.5211307,-0.005859133,-0.02130594,0.01970799
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6760549,-0.5633385,-0.5211307,-0.005859133,-0.02130594,0.01970799
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6670278,-0.5562631,-0.5169832,-0.01065297,-0.02503448,0.02556713
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6665398,-0.5572391,-0.5155193,-0.0165121,-0.02929567,0.0362201
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6665398,-0.5572391,-0.5155193,-0.02130594,-0.0340895,0.04314453
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6665398,-0.5572391,-0.5155193,-0.02130594,-0.0340895,0.04314453
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6616604,-0.5589469,-0.5179591,-0.02343653,-0.0362201,0.04527512
07_06_2023__14_53_49,6.38243E+13,0,Saccade,0.033325195,58.32546997,0,0.6599525,-0.5613866,-0.518935,-0.02396918,-0.0362201,0.04207923
07_06_2023__14_53_49,6.38243E+13,0,Saccade,0.033325195,58.32546997,0,0.6599525,-0.5613866,-0.518935,-0.02396918,-0.0362201,0.04207923
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.033325195,13.81580734,0,0.6599525,-0.5613866,-0.518935,-0.02237124,-0.03355686,0.04154658
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.033325195,13.81580734,0,0.6599525,-0.5613866,-0.518935,-0.01970799,-0.03462215,0.03781804
